gene,n_both,n_inv,rate,enrichment
SP2,181,0,0.0,0.0
DHX9,16,0,0.0,0.0
SRSF10,115,0,0.0,0.0
ZNF384,9,0,0.0,0.0
SSR2,18,0,0.0,0.0
THAP5,44,0,0.0,0.0
CNBP,15,0,0.0,0.0
TIAL1,12,0,0.0,0.0
THRA,15,0,0.0,0.0
XRN1,11,0,0.0,0.0
CASK,12,0,0.0,0.0
CARM1,31,0,0.0,0.0
ARID2,38,0,0.0,0.0
CAP1,22,0,0.0,0.0
C16orf87,13,0,0.0,0.0
URM1,17,0,0.0,0.0
USP10,2,0,0.0,0.0
BRD1,10,0,0.0,0.0
YBX1,9,0,0.0,0.0
VHL,80,0,0.0,0.0
CCDC22,17,0,0.0,0.0
B4GALNT3,7,0,0.0,0.0
ATXN2L,9,0,0.0,0.0
XPR1,17,0,0.0,0.0
ATRX,47,0,0.0,0.0
WARS2,15,0,0.0,0.0
ATP23,19,0,0.0,0.0
ATM,26,0,0.0,0.0
XBP1,140,0,0.0,0.0
ATF4,11,0,0.0,0.0
CBLL1,35,0,0.0,0.0
CCDC6,11,0,0.0,0.0
CMTM7,13,0,0.0,0.0
TMEM79,20,0,0.0,0.0
WIZ,74,0,0.0,0.0
CLASRP,26,0,0.0,0.0
TIPARP,13,0,0.0,0.0
CHTF18,47,0,0.0,0.0
CDKN2AIP,46,0,0.0,0.0
TM9SF3,4,0,0.0,0.0
TMED10,83,0,0.0,0.0
AK3,19,0,0.0,0.0
CDCA3,3,0,0.0,0.0
CD2BP2,1,0,0.0,0.0
UBE2G2,18,0,0.0,0.0
CCS,11,0,0.0,0.0
TOR1A,13,0,0.0,0.0
SINHCAF,9,0,0.0,0.0
ZC3H3,46,0,0.0,0.0
ALG6,39,0,0.0,0.0
CCNK,32,0,0.0,0.0
TSTD2,46,0,0.0,0.0
CCNA2,107,0,0.0,0.0
UBE2E1,10,0,0.0,0.0
TP73,5,0,0.0,0.0
SEC63,184,0,0.0,0.0
EIF4B,4,0,0.0,0.0
HNRNPD,28,0,0.0,0.0
INO80B,19,0,0.0,0.0
IL12RB2,33,0,0.0,0.0
NR2C2,75,0,0.0,0.0
NRAS,26,0,0.0,0.0
HSDL2,20,0,0.0,0.0
HSD17B10,7,0,0.0,0.0
P4HB,69,0,0.0,0.0
PAGR1,41,0,0.0,0.0
PAIP1,8,0,0.0,0.0
PAK2,10,0,0.0,0.0
PAN3,14,0,0.0,0.0
HNRNPA2B1,36,0,0.0,0.0
PHF12,31,0,0.0,0.0
PCBP1,31,0,0.0,0.0
PCBP2,28,0,0.0,0.0
HDAC1,11,0,0.0,0.0
PCNX3,10,0,0.0,0.0
PDCD2L,11,0,0.0,0.0
GYPC,20,0,0.0,0.0
PDIA6,70,0,0.0,0.0
PDLIM2,10,0,0.0,0.0
GPS2,17,0,0.0,0.0
GPATCH8,29,0,0.0,0.0
PEX6,9,0,0.0,0.0
NFKB1,8,0,0.0,0.0
NFE2L1,9,0,0.0,0.0
INTS6,4,0,0.0,0.0
IPO9,6,0,0.0,0.0
MDM4,5,0,0.0,0.0
MAPKAP1,20,0,0.0,0.0
LZTS1,19,0,0.0,0.0
LUC7L3,5,0,0.0,0.0
LAT2,25,0,0.0,0.0
L3MBTL2,146,0,0.0,0.0
MGA,41,0,0.0,0.0
MIA2,45,0,0.0,0.0
MICOS10,29,0,0.0,0.0
ACTR2,30,0,0.0,0.0
MLST8,76,0,0.0,0.0
KTI12,170,0,0.0,0.0
KMT2C,114,0,0.0,0.0
MPI,16,0,0.0,0.0
MSL2,38,0,0.0,0.0
KEAP1,48,0,0.0,0.0
KDM2A,66,0,0.0,0.0
KAT6A,13,0,0.0,0.0
ITGB2,7,0,0.0,0.0
NAA40,10,0,0.0,0.0
IRF2BP1,13,0,0.0,0.0
NCBP3,46,0,0.0,0.0
IRF2,18,0,0.0,0.0
GNAZ,6,0,0.0,0.0
PHF3,41,0,0.0,0.0
SHLD1,76,0,0.0,0.0
ERCC1,77,0,0.0,0.0
RBM33,31,0,0.0,0.0
RBPJ,22,0,0.0,0.0
RC3H1,40,0,0.0,0.0
EXOC1,3,0,0.0,0.0
RCOR1,99,0,0.0,0.0
RFX1,109,0,0.0,0.0
RHEB,20,0,0.0,0.0
ERGIC3,7,0,0.0,0.0
RIPK1,23,0,0.0,0.0
RNASEH1,20,0,0.0,0.0
RNF8,24,0,0.0,0.0
EPC1,12,0,0.0,0.0
PKM,7,0,0.0,0.0
RXRB,60,0,0.0,0.0
SAMD1,154,0,0.0,0.0
SARS2,6,0,0.0,0.0
SCAF4,52,0,0.0,0.0
SCAF8,13,0,0.0,0.0
SEC14L2,43,0,0.0,0.0
MAX,25,0,0.0,0.0
EP300,6,0,0.0,0.0
SETD1B,17,0,0.0,0.0
EML2,17,0,0.0,0.0
EMC4,24,0,0.0,0.0
RBM27,20,0,0.0,0.0
RASGRP1,68,0,0.0,0.0
FANCF,5,0,0.0,0.0
FBXL3,21,0,0.0,0.0
GMEB1,155,0,0.0,0.0
GIGYF2,23,0,0.0,0.0
PPDPF,39,0,0.0,0.0
PPIH,27,0,0.0,0.0
PPIL1,18,0,0.0,0.0
GCN1,9,0,0.0,0.0
GALNT6,19,0,0.0,0.0
FUBP1,223,0,0.0,0.0
PPP6C,16,0,0.0,0.0
PPRC1,12,0,0.0,0.0
FOXN2,144,0,0.0,0.0
