symbol	ensembl_gene_id	endpoint_role
TM2D1	ENSG00000162604	regulator
TM9SF3	ENSG00000077147	regulator
TMED10	ENSG00000170348	regulator
TMED2	ENSG00000086598	regulator
TMED9	ENSG00000184840	regulator
TMEM167A	ENSG00000174695	regulator
TMEM214	ENSG00000119777	regulator
TMEM79	ENSG00000163472	regulator
TNPO1	ENSG00000083312	regulator
TNRC6A	ENSG00000090905	regulator
TOR1A	ENSG00000136827	regulator
TP53	ENSG00000141510	regulator
TP53INP2	ENSG00000078804	regulator
TP73	ENSG00000078900	regulator
TPD52	ENSG00000076554	regulator
TRAF3	ENSG00000131323	regulator
TRIP12	ENSG00000153827	regulator
TSC1	ENSG00000165699	regulator
TSC2	ENSG00000103197	regulator
TSTD2	ENSG00000136925	regulator
TUFM	ENSG00000178952	regulator
TWNK	ENSG00000107815	regulator
UBA2	ENSG00000126261	regulator
UBA5	ENSG00000081307	regulator
UBAP2L	ENSG00000143569	regulator
UBE2E1	ENSG00000170142	regulator
UBE2G2	ENSG00000184787	regulator
UBE2I	ENSG00000103275	regulator
UBE2L3	ENSG00000185651	regulator
UBE2N	ENSG00000177889	regulator
UBR4	ENSG00000127481	regulator
UBR5	ENSG00000104517	regulator
UBXN1	ENSG00000162191	regulator
UCHL5	ENSG00000116750	regulator
UFL1	ENSG00000014123	regulator
UFM1	ENSG00000120686	regulator
UNC45A	ENSG00000140553	regulator
UPF2	ENSG00000151461	regulator
UQCRB	ENSG00000156467	regulator
URM1	ENSG00000167118	regulator
USO1	ENSG00000138768	regulator
USP10	ENSG00000103194	regulator
USP22	ENSG00000124422	regulator
USP7	ENSG00000187555	regulator
VARS2	ENSG00000137411	regulator
VAV1	ENSG00000141968	regulator
VEZT	ENSG00000028203	regulator
VHL	ENSG00000134086	regulator
VPS41	ENSG00000006715	regulator
WAC	ENSG00000095787	regulator
WAPL	ENSG00000062650	regulator
WARS2	ENSG00000116874	regulator
WASF2	ENSG00000158195	regulator
WDR59	ENSG00000103091	regulator
WDR82	ENSG00000164091	regulator
WIZ	ENSG00000011451	regulator
WNK1	ENSG00000060237	regulator
WRAP53	ENSG00000141499	regulator
XBP1	ENSG00000100219	regulator
XPR1	ENSG00000143324	regulator
XRCC2	ENSG00000196584	regulator
XRN1	ENSG00000114127	regulator
