gene,n_both,n_inv,rate,decile,p_expected,p_naive,p_degree_matched,q_naive,q_degree_matched,enrichment_vs_decile,OR_logistic,p_logistic,sig,direction,logistic_uncalibrated_do_not_use
SP2,181,0,0.0,5,0.02078100022836264,0.0001430210569588481,0.036409093623295,0.0008581263417530887,0.07914216468834605,0.0,1.7062929576997973e-10,3.031785401142022e-111,False,down,2.6679711530049796e-110
SEC63,184,0,0.0,5,0.020795246800731262,8.90377468318365e-05,0.036484316738364504,0.0005596658372286865,0.07914216468834605,0.0,1.7003863696747363e-10,2.79304063341023e-111,False,down,2.5426300938631062e-110
TMED10,83,0,0.0,2,0.04965585054080629,0.022986719124343014,0.03657327307567507,0.052965181391592966,0.07914216468834605,0.0,5.466629761015257e-10,5.591303191685083e-100,False,down,2.68382553200884e-99
DDX6,214,4,0.018691588785046728,6,0.04748225751943224,0.02072708975102261,0.051273998258276936,0.050427105313048996,0.11005150845678953,0.3936541723484218,0.3984542409238982,6.124155922325128e-36,False,down,1.336179473961846e-35
DNAJC8,125,11,0.088,4,0.04732142857142857,0.1023769993007442,0.05225245958211505,0.17325338343202865,0.11124717201353526,1.859622641509434,2.271647312394759,7.211123438788306e-25,False,up,1.4101752502519354e-24
KTI12,170,0,0.0,5,0.02072892938496583,0.0001963697664146055,0.05465966821781215,0.0011520359629656857,0.11544121927601926,0.0,1.7290064034151374e-10,4.158252407152171e-111,False,down,3.541221404800559e-110
MYB,423,10,0.02364066193853428,8,0.04179152830647121,0.005971556500402083,0.06707045760216745,0.01732407600116648,0.13994671342345313,0.5656807227811681,0.4386843480582832,1.5038058740468984e-24,False,down,2.9191525790322146e-24
INTS14,203,4,0.019704433497536946,6,0.04739416427728116,0.038340619683759465,0.06732285077567632,0.07668123936751893,0.13994671342345313,0.4157565345441159,0.42521607415948187,3.6830619309279354e-31,False,down,7.656128738306889e-31
PPHLN1,132,2,0.015151515151515152,4,0.05010438413361169,0.05011398125985715,0.07003432480265626,0.09641828849971748,0.14444579490547851,0.3023989898989899,0.35621986843422376,1.1343648188183172e-39,False,down,2.559592411692613e-39
LAMTOR2,148,12,0.08108108108108109,4,0.047347917290979924,0.13539108585793103,0.07620507449048727,0.21532076305116743,0.15595457105029953,1.7124529592884024,2.0039898571570007,1.4096330712827556e-19,False,up,2.497604904823137e-19
CUL3,114,8,0.07017543859649122,3,0.03748231966053748,0.3952192616747956,0.07817080265334342,0.5089652930836392,0.15874686077294356,1.8722277391592188,1.8091872729829914,3.5542784168438577e-13,False,up,5.618739533214243e-13
PAXIP1,308,10,0.032467532467532464,7,0.055357142857142855,0.12512156650661294,0.08091898750732716,0.20265088072236695,0.16096011743438499,0.5865102639296187,0.6508031059648968,1.2424987094854503e-08,False,down,1.7541158251559298e-08
INTS12,153,0,0.0,5,0.02064896755162242,0.00042470523849895013,0.08153292073785576,0.0019533197772783656,0.16096011743438499,0.0,1.767847049412425e-10,7.149979983172496e-111,False,down,5.393127758735825e-110
DNAJB9,154,0,0.0,5,0.0206536541080345,0.0004259512708229569,0.08189929580180841,0.0019533197772783656,0.16096011743438499,0.0,1.7654206429857637e-10,6.911539153485702e-111,False,down,5.36660687211831e-110
SAMD1,154,0,0.0,5,0.0206536541080345,0.0004259512708229569,0.08189929580180841,0.0019533197772783656,0.16096011743438499,0.0,1.765420642833761e-10,6.911539140216111e-111,False,down,5.36660687211831e-110
GMEB1,155,0,0.0,5,0.020658342792281497,0.0004291384359172167,0.08230915096076505,0.0019533197772783656,0.16096011743438499,0.0,1.7630132044521938e-10,6.68286827387745e-111,False,down,5.36660687211831e-110
CFAP20,139,11,0.07913669064748201,4,0.047519426180514045,0.17742094599121172,0.10462385326059503,0.2723205217539529,0.20309336221174332,1.6653545088457535,1.9773836136119973,1.8122452506158732e-18,False,up,3.127011412827389e-18
