gene,n_both,n_inv,rate,decile,p_expected,enrichment_vs_decile,p_ora_pooled,p_ora_indeg_matched,p_ora_fisher,q_ora_pooled,q_ora_indeg_matched,q_ora_fisher
PRPF31,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRPF38A,7,0,0.0,1,0.06280566280566281,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRPF38B,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF480,9,0,0.0,2,0.05435323383084577,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF470,12,0,0.0,4,0.058307533539731685,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRNP,24,0,0.0,8,0.04465653352185696,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF350,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF563,12,0,0.0,4,0.058307533539731685,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF566,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF622,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF621,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POLE2,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POLE3,10,0,0.0,3,0.05220779220779221,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF620,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POLE4,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POLH,21,0,0.0,7,0.04532276768457673,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POLI,18,0,0.0,7,0.04530963191962129,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POLR1D,14,0,0.0,5,0.05670604586518416,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PLXNB2,23,0,0.0,8,0.0446539027982327,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POLR1H,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POLR2B,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF619,9,0,0.0,2,0.05435323383084577,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF610,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POLR2G,19,0,0.0,7,0.04531400966183575,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PLXNA3,10,0,0.0,3,0.05220779220779221,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF678,12,0,0.0,4,0.058307533539731685,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POLR3G,7,0,0.0,1,0.06280566280566281,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POLR3GL,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PLS1,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POMGNT1,13,0,0.0,5,0.05669816564758199,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POMGNT2,13,0,0.0,5,0.05669816564758199,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PON2,21,0,0.0,7,0.04532276768457673,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF677,17,0,0.0,6,0.04791915679669673,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POU2AF1,10,0,0.0,3,0.05220779220779221,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF623,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
POLB,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PM20D2,12,0,0.0,4,0.058307533539731685,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF664,9,0,0.0,2,0.05435323383084577,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PLXND1,7,0,0.0,1,0.06280566280566281,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PML,7,0,0.0,1,0.06280566280566281,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PMM1,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PMM2,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF652,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PMPCB,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PMVK,18,0,0.0,7,0.04530963191962129,0.0,1.0,1.0,1.0,1.0,1.0,1.0
