gene,n_both,n_inv,rate,decile,p_expected,enrichment_vs_decile,odds_ratio,p_enrichment,q_enrichment,sig_enriched,p_two_sided,q_two_sided,sig_two_sided,direction,shown_in_fig2a,label_rank_fig2a,label_rank_fig2a_two_sided
FUBP1,223,0,0.0,8,0.04060986035907666,0.0,0.0,1.0,1.0,False,0.00019289281237231927,0.002163906640613109,True,down,False,0,0
GALNT6,19,0,0.0,2,0.05391658189216684,0.0,0.0,1.0,1.0,False,0.6185314560199646,1.0,False,down,False,0,0
GATAD1,15,0,0.0,1,0.03129074315514994,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
GCN1,9,0,0.0,0,0.06633906633906633,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
GIGYF2,23,0,0.0,3,0.0343859649122807,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
GMEB1,155,0,0.0,7,0.041731669266770674,0.0,0.0,1.0,1.0,False,0.003085859696645799,0.022139249218958816,True,down,False,0,0
GNAZ,6,0,0.0,0,0.06585365853658537,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
GPATCH8,29,0,0.0,4,0.030578117534639272,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
GPR137,13,0,0.0,1,0.031209362808842653,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
GPS2,17,0,0.0,2,0.05380710659898477,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
GSTCD,19,0,0.0,2,0.05391658189216684,0.0,0.0,1.0,1.0,False,0.6185314560199646,1.0,False,down,False,0,0
GYPC,20,0,0.0,2,0.0539714867617108,0.0,0.0,1.0,1.0,False,0.6196956530005753,1.0,False,down,False,0,0
H2AZ1,38,0,0.0,4,0.030710172744721688,0.0,0.0,1.0,1.0,False,0.6280639224071687,1.0,False,down,False,0,0
HDAC1,11,0,0.0,1,0.0311284046692607,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
HEXIM1,31,0,0.0,4,0.030607364897178385,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
HMGN5,20,0,0.0,2,0.0539714867617108,0.0,0.0,1.0,1.0,False,0.6196956530005753,1.0,False,down,False,0,0
HNRNPA2B1,36,0,0.0,4,0.030680728667305847,0.0,0.0,1.0,1.0,False,0.6253458563312604,1.0,False,down,False,0,0
HNRNPD,28,0,0.0,3,0.03450704225352113,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
HPS1,39,0,0.0,4,0.030724915986557848,0.0,0.0,1.0,1.0,False,0.6298157680095292,1.0,False,down,False,0,0
HSD17B10,7,0,0.0,0,0.06601466992665037,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
HSDL2,20,0,0.0,2,0.0539714867617108,0.0,0.0,1.0,1.0,False,0.6196956530005753,1.0,False,down,False,0,0
ID2,94,0,0.0,6,0.0423728813559322,0.0,0.0,1.0,1.0,False,0.03304315112651341,0.14357481862717447,False,down,False,0,0
IL12RB2,33,0,0.0,4,0.030636668262326472,0.0,0.0,1.0,1.0,False,0.623505716918842,1.0,False,down,False,0,0
IMMP2L,15,0,0.0,1,0.03129074315514994,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
INO80B,19,0,0.0,2,0.05391658189216684,0.0,0.0,1.0,1.0,False,0.6185314560199646,1.0,False,down,False,0,0
INTS12,153,0,0.0,7,0.041720821419287756,0.0,0.0,1.0,1.0,False,0.0030135494271294537,0.022107414932624386,True,down,False,0,0
INTS13,221,0,0.0,8,0.04060407465450919,0.0,0.0,1.0,1.0,False,0.00019076660557177202,0.002163906640613109,True,down,False,0,0
INTS6,4,0,0.0,0,0.06553398058252427,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
