display_rank	target	target_ensg	orientation	go_id	go_term
155	ZBTB32	ENSG00000011590	lost_on_activation	GO:0010468	regulation of gene expression
156	AFF4	ENSG00000072364	lost_on_activation	GO:0006351	DNA-templated transcription
156	AFF4	ENSG00000072364	lost_on_activation	GO:0010468	regulation of gene expression
158	NFE2L1	ENSG00000082641	lost_on_activation	GO:0019725	cellular homeostasis
158	NFE2L1	ENSG00000082641	lost_on_activation	GO:0008152	metabolic process
158	NFE2L1	ENSG00000082641	lost_on_activation	GO:0010468	regulation of gene expression
158	NFE2L1	ENSG00000082641	lost_on_activation	GO:0023052	signaling
159	ABI3	ENSG00000108798	lost_on_activation	GO:0048870	cell motility
161	FBXL5	ENSG00000118564	lost_on_activation	GO:0019725	cellular homeostasis
161	FBXL5	ENSG00000118564	lost_on_activation	GO:0044238	primary metabolic process
162	KLF9	ENSG00000119138	lost_on_activation	GO:0010468	regulation of gene expression
163	UFM1	ENSG00000120686	lost_on_activation	GO:0006914	autophagy
163	UFM1	ENSG00000120686	lost_on_activation	GO:0044238	primary metabolic process
164	NCOA3	ENSG00000124151	lost_on_activation	GO:0010468	regulation of gene expression
164	NCOA3	ENSG00000124151	lost_on_activation	GO:0023052	signaling
165	MBOAT7	ENSG00000125505	lost_on_activation	GO:0048870	cell motility
165	MBOAT7	ENSG00000125505	lost_on_activation	GO:0006629	lipid metabolic process
166	HCST	ENSG00000126264	lost_on_activation	GO:0044238	primary metabolic process
167	AP4B1	ENSG00000134262	lost_on_activation	GO:0016192	vesicle-mediated transport
168	IER3	ENSG00000137331	lost_on_activation	GO:0022402	cell cycle process
168	IER3	ENSG00000137331	lost_on_activation	GO:0012501	programmed cell death
168	IER3	ENSG00000137331	lost_on_activation	GO:0023052	signaling
169	PRPSAP2	ENSG00000141127	lost_on_activation	GO:0044238	primary metabolic process
170	SURF4	ENSG00000148248	lost_on_activation	GO:0016192	vesicle-mediated transport
171	PRSS23	ENSG00000150687	lost_on_activation	GO:0044238	primary metabolic process
172	MED8	ENSG00000159479	lost_on_activation	GO:0022607	cellular component assembly
172	MED8	ENSG00000159479	lost_on_activation	GO:0006351	DNA-templated transcription
172	MED8	ENSG00000159479	lost_on_activation	GO:0010468	regulation of gene expression
173	AIM2	ENSG00000163568	lost_on_activation	GO:0022607	cellular component assembly
173	AIM2	ENSG00000163568	lost_on_activation	GO:0019725	cellular homeostasis
173	AIM2	ENSG00000163568	lost_on_activation	GO:0010468	regulation of gene expression
173	AIM2	ENSG00000163568	lost_on_activation	GO:0023052	signaling
175	NAP1L5	ENSG00000177432	lost_on_activation	GO:0022607	cellular component assembly
