display_rank,regulator,regulator_ensg,target,target_ensg,direction,lfc_Rest,lfc_Stim48,programme_order,programme,programme_label,programme_source_terms,programme_memberships_on_edge,is_unclassified_complement
5,SUPT7L,ENSG00000119760,BCL2L1,ENSG00000171552,lost_on_activation,0.2969941880494205,-0.2234103062504264,3,stress_survival,Stress/survival,KEGG_APOPTOSIS,2,False
5,SUPT7L,ENSG00000119760,SPSB1,ENSG00000171621,gained_on_activation,-0.4958727493045837,0.5824018086462543,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,GTPBP2,ENSG00000172432,lost_on_activation,0.142715961839155,-0.1344760202678422,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,TCAP,ENSG00000173991,lost_on_activation,1.172160658573446,-1.050642223625895,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,TLR6,ENSG00000174130,lost_on_activation,0.4747854731916174,-0.3991601161018206,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,RAB6A,ENSG00000175582,lost_on_activation,0.1574097944510146,-0.1455870276523626,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,YES1,ENSG00000176105,lost_on_activation,0.3437828483318438,-0.3276943600776275,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,MEX3C,ENSG00000176624,lost_on_activation,0.1801098463905865,-0.128728021625539,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,MTX3,ENSG00000177034,lost_on_activation,0.3531212046594117,-0.8934528689047401,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,MPI,ENSG00000178802,gained_on_activation,-0.3052050386459929,0.1590777430961823,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,GEMIN4,ENSG00000179409,gained_on_activation,-0.3030973398089126,0.2100832030757833,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,ZNF48,ENSG00000180035,gained_on_activation,-0.2516329305399981,0.1992985737411967,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,TMEM64,ENSG00000180694,lost_on_activation,0.4702385410085571,-0.1361588097528152,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,AEN,ENSG00000181026,gained_on_activation,-0.3138973076428603,0.4012694040469776,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,CREB3L2,ENSG00000182158,lost_on_activation,0.2696766594525963,-0.2780950156083577,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,BCL9L,ENSG00000186174,gained_on_activation,-0.2813498395172916,0.1671118887661998,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,SUMO2,ENSG00000188612,gained_on_activation,-0.1345695512826049,0.0990874969400006,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,NHLRC3,ENSG00000188811,lost_on_activation,0.2000664034335214,-0.1836233438037976,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,FAM111B,ENSG00000189057,gained_on_activation,-0.3622709949719094,0.4219161279342519,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,LITAF,ENSG00000189067,gained_on_activation,-0.2812790406915815,0.199705780273715,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,IL1RAP,ENSG00000196083,lost_on_activation,0.3420404414000941,-0.3522350528408033,1,tcr_cytokine_signalling,TCR/cytokine signalling,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,2,False
5,SUPT7L,ENSG00000119760,IL1RAP,ENSG00000196083,lost_on_activation,0.3420404414000941,-0.3522350528408033,3,stress_survival,Stress/survival,KEGG_APOPTOSIS,2,False
5,SUPT7L,ENSG00000119760,SLC6A9,ENSG00000196517,lost_on_activation,0.8563149166672462,-0.4636600482860695,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,GM2A,ENSG00000196743,gained_on_activation,-0.2771499759198683,0.5338595733594103,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,FAM3C,ENSG00000196937,lost_on_activation,0.4333447452437189,-0.3129964720068027,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,YTHDF2,ENSG00000198492,gained_on_activation,-0.1019631272101093,0.0752069090361892,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,APRT,ENSG00000198931,gained_on_activation,-0.2151912110334438,0.1291358334114413,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,PSMB8,ENSG00000204264,gained_on_activation,-0.1891997324945457,0.0976550466413677,2,antigen_processing_proteasome,Antigen processing/proteasome,KEGG_PROTEASOME,1,False
5,SUPT7L,ENSG00000119760,PBX2,ENSG00000204304,gained_on_activation,-0.1551885612896194,0.1099060927681865,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,PSMB10,ENSG00000205220,gained_on_activation,-0.2151517405140763,0.1723601843259764,2,antigen_processing_proteasome,Antigen processing/proteasome,KEGG_PROTEASOME,1,False
5,SUPT7L,ENSG00000119760,SNX2,ENSG00000205302,lost_on_activation,0.135333146577211,-0.1677229760412182,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,SACM1L,ENSG00000211456,lost_on_activation,0.13840783878379,-0.2857281085273894,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,AP1G2,ENSG00000213983,gained_on_activation,-0.1285704367719573,0.1421371397510242,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,PSMB9,ENSG00000240065,gained_on_activation,-0.19035058034073,0.2180016582571629,2,antigen_processing_proteasome,Antigen processing/proteasome,KEGG_PROTEASOME,1,False
5,SUPT7L,ENSG00000119760,CHURC1,ENSG00000258289,gained_on_activation,-0.0823036952170941,0.134623852734576,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,EGLN2,ENSG00000269858,gained_on_activation,-0.1642541395403888,0.1444129506417383,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,UHRF1,ENSG00000276043,gained_on_activation,-0.3374175602301594,0.3510353469740314,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,PHTF2,ENSG00000006576,lost_on_activation,0.3445482900057573,-0.2538601231795164,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,RANBP9,ENSG00000010017,lost_on_activation,0.2886495485335039,-0.2634590891438418,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,BIRC3,ENSG00000023445,lost_on_activation,0.5694483780592724,-0.3283092524175944,3,stress_survival,Stress/survival,KEGG_APOPTOSIS,1,False
6,TAF6L,ENSG00000162227,STAP1,ENSG00000035720,lost_on_activation,0.7812214050996317,-0.7169350251056681,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,RFC1,ENSG00000035928,lost_on_activation,0.1633081617154657,-0.4751097421616475,4,proliferation,Proliferation,KEGG_DNA_REPLICATION,1,False
6,TAF6L,ENSG00000162227,LCP2,ENSG00000043462,lost_on_activation,0.182705238799377,-0.1979134313840397,1,tcr_cytokine_signalling,TCR/cytokine signalling,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1,False
6,TAF6L,ENSG00000162227,YBX3,ENSG00000060138,gained_on_activation,-0.4509898858231718,0.2183812294666811,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,MTMR1,ENSG00000063601,gained_on_activation,-0.1767964525802095,0.2431286374436738,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,CNN2,ENSG00000064666,gained_on_activation,-0.1911159281058431,0.2028389899642207,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,WIPI1,ENSG00000070540,lost_on_activation,0.6540340471067995,-0.2172540829637731,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,MAP4K4,ENSG00000071054,gained_on_activation,-0.3396843112588364,0.2904784342267831,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,PALS1,ENSG00000072415,lost_on_activation,0.3163637098603064,-0.3307878806196058,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,DGKD,ENSG00000077044,gained_on_activation,-0.2484449937892462,0.3868989688491493,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,SNX10,ENSG00000086300,lost_on_activation,0.3928233943027059,-0.2317135701261246,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,PPP1R15A,ENSG00000087074,lost_on_activation,0.3488009931612053,-0.3941829948359525,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,BAX,ENSG00000087088,gained_on_activation,-0.3680453154280486,0.3140294156881905,3,stress_survival,Stress/survival,KEGG_APOPTOSIS,1,False
6,TAF6L,ENSG00000162227,DOCK9,ENSG00000088387,gained_on_activation,-0.2596087072513061,0.2087559984187004,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,PSME1,ENSG00000092010,gained_on_activation,-0.1813797257914984,0.2605820914285329,2,antigen_processing_proteasome,Antigen processing/proteasome,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION;KEGG_PROTEASOME,1,False
6,TAF6L,ENSG00000162227,LRRFIP2,ENSG00000093167,lost_on_activation,0.2383089974413811,-0.2985617219558834,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,CREM,ENSG00000095794,lost_on_activation,0.5601213143886783,-0.2629211810273803,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,JAK2,ENSG00000096968,gained_on_activation,-0.2610051993277319,0.2535395416781561,1,tcr_cytokine_signalling,TCR/cytokine signalling,KEGG_JAK_STAT_SIGNALING_PATHWAY,2,False
6,TAF6L,ENSG00000162227,JAK2,ENSG00000096968,gained_on_activation,-0.2610051993277319,0.2535395416781561,6,synapse_trafficking,Synapse/trafficking,KEGG_CHEMOKINE_SIGNALING_PATHWAY,2,False
6,TAF6L,ENSG00000162227,OSM,ENSG00000099985,lost_on_activation,0.8936633498079355,-0.4776376066344198,1,tcr_cytokine_signalling,TCR/cytokine signalling,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION;KEGG_JAK_STAT_SIGNALING_PATHWAY,1,False
6,TAF6L,ENSG00000162227,DDX17,ENSG00000100201,gained_on_activation,-0.1080239770017722,0.1833844122343985,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,IL2RB,ENSG00000100385,lost_on_activation,0.3865038548910035,-0.4810108304699223,1,tcr_cytokine_signalling,TCR/cytokine signalling,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION;KEGG_JAK_STAT_SIGNALING_PATHWAY,2,False
6,TAF6L,ENSG00000162227,IL2RB,ENSG00000100385,lost_on_activation,0.3865038548910035,-0.4810108304699223,6,synapse_trafficking,Synapse/trafficking,KEGG_ENDOCYTOSIS,2,False
6,TAF6L,ENSG00000162227,PRORP,ENSG00000100890,gained_on_activation,-0.1854147363808918,0.216140217051311,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,PSME2,ENSG00000100911,gained_on_activation,-0.2135967082035754,0.2485518069546311,2,antigen_processing_proteasome,Antigen processing/proteasome,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION;KEGG_PROTEASOME,1,False
6,TAF6L,ENSG00000162227,SLA2,ENSG00000101082,lost_on_activation,0.2007743346358678,-0.5936105743335457,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,TLE5,ENSG00000104964,gained_on_activation,-0.2496641248856221,0.2318350343556717,7,unclassified,Outside six programmes,,0,True
6,TAF6L,ENSG00000162227,MAP3K8,ENSG00000107968,lost_on_activation,0.3168967518875202,-0.2854435149526634,1,tcr_cytokine_signalling,TCR/cytokine signalling,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1,False
