time	donor	auc	median_delta_lost	median_delta_gained	median_delta_difference
24	TB03073577	0.607770194101129	0.759768089176052	0.0431909586310195	0.716577130545032
24	TB03073591	0.61437516653344	0.686199166215838	0.0630559933045522	0.623143172911286
24	TB03073798	0.61697308819611	0.857828077875579	0.211358940158285	0.646469137717295
24	TB03073852	0.644714997232983	0.762150731001432	-0.00547762849088196	0.767628359492314
24	TB03073878	0.61965811965812	0.884439437657742	0.246751017812668	0.637688419845074
24	TB03074092	0.600432474533194	0.877918108471191	0.274182904336753	0.603735204134439
24	TB03074157	0.609102461620447	0.845747743421911	0.300933809066056	0.544813934355855
24	TB03074178	0.602143925884933	0.798326729403734	0.260637228759129	0.537689500644605
24	TB03074192	0.616173727684519	0.83152046742507	0.134508060676834	0.697012406748237
24	TB03074218	0.627661972985714	0.892182789018195	0.163300479789944	0.728882309228251
24	TB03074315	0.598731271393142	0.742887956117724	0.251850021922147	0.491037934195577
24	TB03074401	0.630213777695792	0.910679298514931	0.211014942591548	0.699664355923383
24	TB03074749	0.604265305704155	0.779763957697895	0.207650197380643	0.572113760317251
48	TB03070100	0.550349464018529	0.579044905858241	0.263378666527545	0.315666239330696
48	TB03070514	0.525466806042346	0.58042123187521	0.389452320530629	0.190968911344581
48	TB03070641	0.503832831170961	0.752174515071376	0.849991914012872	-0.0978173989414967
48	TB03071454	0.615948267027404	0.866766700796959	0.163450004491742	0.703316696305217
48	TB03071936	0.567761175674845	0.719010725892661	0.33893638715328	0.380074338739381
48	TB03072560	0.561940191436594	0.812386544112689	0.461104794915424	0.351281749197265
48	TB03072608	0.576923076923077	0.782285853320831	0.389766907877312	0.392518945443519
48	TB03073148	0.576882084076329	0.751130176702536	0.371808328963349	0.379321847739187
48	TB03073189	0.5950419151858	0.783168605608141	0.291631225846749	0.491537379761392
48	TB03073577	0.555412080591937	0.66726138726877	0.39794674868942	0.26931463857935
48	TB03073591	0.576051978929677	0.659187715615992	0.243662026359223	0.41552568925677
48	TB03073798	0.571317305130255	0.861531352463823	0.422952278151486	0.438579074312337
48	TB03073852	0.605679558916969	0.846859072786189	0.289901754381822	0.556957318404366
48	TB03073878	0.596589395150546	0.897216970220915	0.379492915934315	0.517724054286599
48	TB03074092	0.570753653487466	0.932781140670535	0.5330696004597	0.399711540210835
48	TB03074157	0.56443050687655	0.692908244721678	0.379574936310311	0.313333308411367
48	TB03074178	0.559214167127836	0.76524054900016	0.460939827885802	0.304300721114358
48	TB03074192	0.591578019635574	0.794190039288983	0.313021607709508	0.481168431579476
48	TB03074218	0.547377482629281	0.701330570676269	0.465413693950188	0.235916876726081
48	TB03074315	0.58549058189346	0.723841315769064	0.303491949593852	0.420349366175213
48	TB03074401	0.579925802947386	0.8728041460786	0.419887638945172	0.452916507133428
48	TB03074749	0.570507696406977	0.708439228683675	0.350794619168843	0.357644609514833
72	TB03070100	0.548371559162926	0.624612806476779	0.394947207112244	0.229665599364535
72	TB03070514	0.526255918342249	0.540823567114269	0.446784984475603	0.094038582638666
72	TB03070641	0.568550287974748	0.837346417471793	0.51515040534777	0.322196012124023
72	TB03071454	0.596497161245363	0.748809077279674	0.228468022539172	0.520341054740502
72	TB03071936	0.547971878907131	0.672084126615317	0.348058296472097	0.32402583014322
72	TB03072560	0.562585828772879	0.819693161884424	0.468449261252362	0.351243900632062
72	TB03072608	0.562401360962512	0.753167825315167	0.435328064384638	0.317839760930529
72	TB03073148	0.555555555555556	0.709897668721186	0.527452596453876	0.18244507226731
72	TB03073189	0.598054889421796	0.788649486614338	0.338509068304772	0.450140418309565
72	TB03073577	0.555811760847732	0.69023011418033	0.390047450069468	0.300182664110862
72	TB03073591	0.583820123388469	0.689372175350267	0.27476900071408	0.414603174636188
72	TB03073798	0.566377667097092	0.810501034016296	0.453198539636076	0.35730249438022
72	TB03073852	0.614749226260018	0.827801759833302	0.333099734707138	0.494702025126164
72	TB03073878	0.595328865113038	0.708941174561065	0.28654731421542	0.422393860345645
72	TB03074092	0.536709094263051	0.645802186461257	0.448292011209099	0.197510175252158
72	TB03074157	0.566818340199635	0.775484201423744	0.453639739665787	0.321844461757957
72	TB03074178	0.546311668613827	0.846374803976867	0.551888683571994	0.294486120404873
72	TB03074192	0.574535243599992	0.666141975853172	0.326840818674066	0.339301157179106
72	TB03074218	0.54508188321138	0.690602345694288	0.544683998919449	0.145918346774838
72	TB03074315	0.56572178154912	0.753160680866856	0.393413801980746	0.35974687888611
72	TB03074401	0.580212752874623	0.713703583880118	0.329607602103086	0.384095981777032
72	TB03074749	0.557892147820205	0.690399496946457	0.391091006483525	0.299308490462931
