null_model	normalization	bin_left	bin_right	bin_midpoint	count	total_draws
regulator_signed_margin	raw_tmm	-0.105227705330641	-0.102700213598988	-0.103963959464815	356	10000
regulator_signed_margin	raw_tmm	-0.102700213598988	-0.100172721867334	-0.101436467733161	338	10000
regulator_signed_margin	raw_tmm	-0.100172721867334	-0.097645230135681	-0.0989089760015077	348	10000
regulator_signed_margin	raw_tmm	-0.097645230135681	-0.0951177384040275	-0.0963814842698542	310	10000
regulator_signed_margin	raw_tmm	-0.0951177384040275	-0.092590246672374	-0.0938539925382007	327	10000
regulator_signed_margin	raw_tmm	-0.092590246672374	-0.0900627549407205	-0.0913265008065472	307	10000
regulator_signed_margin	raw_tmm	-0.0900627549407205	-0.087535263209067	-0.0887990090748937	283	10000
regulator_signed_margin	raw_tmm	-0.087535263209067	-0.0850077714774135	-0.0862715173432402	252	10000
regulator_signed_margin	raw_tmm	-0.0850077714774135	-0.08248027974576	-0.0837440256115867	268	10000
regulator_signed_margin	raw_tmm	-0.08248027974576	-0.0799527880141065	-0.0812165338799332	219	10000
regulator_signed_margin	raw_tmm	-0.0799527880141065	-0.077425296282453	-0.0786890421482797	214	10000
regulator_signed_margin	raw_tmm	-0.077425296282453	-0.0748978045507995	-0.0761615504166262	197	10000
regulator_signed_margin	raw_tmm	-0.0748978045507995	-0.072370312819146	-0.0736340586849727	183	10000
regulator_signed_margin	raw_tmm	-0.072370312819146	-0.0698428210874925	-0.0711065669533192	150	10000
regulator_signed_margin	raw_tmm	-0.0698428210874925	-0.067315329355839	-0.0685790752216657	124	10000
regulator_signed_margin	raw_tmm	-0.067315329355839	-0.0647878376241855	-0.0660515834900123	129	10000
regulator_signed_margin	raw_tmm	-0.0647878376241855	-0.062260345892532	-0.0635240917583587	115	10000
regulator_signed_margin	raw_tmm	-0.062260345892532	-0.0597328541608785	-0.0609966000267052	74	10000
regulator_signed_margin	raw_tmm	-0.0597328541608785	-0.057205362429225	-0.0584691082950518	83	10000
regulator_signed_margin	raw_tmm	-0.057205362429225	-0.0546778706975715	-0.0559416165633983	72	10000
regulator_signed_margin	raw_tmm	-0.0546778706975715	-0.052150378965918	-0.0534141248317448	60	10000
regulator_signed_margin	raw_tmm	-0.052150378965918	-0.0496228872342645	-0.0508866331000913	59	10000
regulator_signed_margin	raw_tmm	-0.0496228872342645	-0.047095395502611	-0.0483591413684378	35	10000
regulator_signed_margin	raw_tmm	-0.047095395502611	-0.0445679037709575	-0.0458316496367843	38	10000
regulator_signed_margin	raw_tmm	-0.0445679037709575	-0.042040412039304	-0.0433041579051308	29	10000
regulator_signed_margin	raw_tmm	-0.042040412039304	-0.0395129203076505	-0.0407766661734773	31	10000
regulator_signed_margin	raw_tmm	-0.0395129203076505	-0.036985428575997	-0.0382491744418238	14	10000
regulator_signed_margin	raw_tmm	-0.036985428575997	-0.0344579368443435	-0.0357216827101703	20	10000
regulator_signed_margin	raw_tmm	-0.0344579368443435	-0.03193044511269	-0.0331941909785168	9	10000
regulator_signed_margin	raw_tmm	-0.03193044511269	-0.0294029533810365	-0.0306666992468633	8	10000
regulator_signed_margin	raw_tmm	-0.0294029533810365	-0.026875461649383	-0.0281392075152098	4	10000
regulator_signed_margin	raw_tmm	-0.026875461649383	-0.0243479699177295	-0.0256117157835563	9	10000
regulator_signed_margin	raw_tmm	-0.0243479699177295	-0.021820478186076	-0.0230842240519028	5	10000
regulator_signed_margin	raw_tmm	-0.021820478186076	-0.0192929864544225	-0.0205567323202493	2	10000
regulator_signed_margin	raw_tmm	-0.0192929864544225	-0.0167654947227691	-0.0180292405885958	3	10000
regulator_signed_margin	raw_tmm	-0.0167654947227691	-0.0142380029911156	-0.0155017488569423	1	10000
regulator_signed_margin	raw_tmm	-0.0142380029911156	-0.011710511259462	-0.0129742571252888	0	10000
regulator_signed_margin	raw_tmm	-0.011710511259462	-0.00918301952780856	-0.0104467653936353	1	10000
regulator_signed_margin	raw_tmm	-0.00918301952780856	-0.00665552779615505	-0.00791927366198181	2	10000
regulator_signed_margin	raw_tmm	-0.00665552779615505	-0.00412803606450157	-0.00539178193032831	0	10000
regulator_signed_margin	raw_tmm	-0.00412803606450157	-0.00160054433284806	-0.00286429019867482	2	10000
regulator_signed_margin	raw_tmm	-0.00160054433284806	0.000926947398805414	-0.000336798467021325	1	10000
